date,belki,fats,uglevod,grade,variety,overall
07.12.2023,2.75,2.75,3.33,2.92,1.75,8.72
07.12.2023,2.0,1.8,2.6,3.8,2.0,6.96
07.12.2023,1.14,1.86,2.57,1.29,0.67,3
07.12.2023,2.68,2.16,2.79,3.89,2.32,10
07.12.2023,2.67,1.67,3.0,3.17,2.0,8.1
07.12.2023,2.75,2.75,3.33,2.92,1.75,8.3
07.12.2023,2.0,1.8,2.6,3.8,2.0,6.2
07.12.2023,2.0,1.8,2.6,3.8,2.0,4.8
07.12.2023,2.0,1.8,2.6,3.8,2.0,5.7
07.12.2023,2.0,1.8,2.6,3.8,2.0,9.2
07.12.2023,2.0,1.8,2.6,3.8,2.0,4.5
07.12.2023,2.0,1.8,2.6,3.8,2.0,8
06.04.2024,3.14,2.43,3.14,3.57,2.0,10
